type,line,original,modern,english,id,title,description
line,2835,remenbrogh (remembrogh) helma lemen,"remembrowgh hemma lemmyn,","Remember ye this now,",,,
line,2836,eff a ree reken in sur,ev a re reken yn sur,2836 He will cause to reckon [give an account] surely,,,
line,2837,an enevov neb termen,a'n enevow neb termyn:,The [Of the] souls every time :,,,
line,2838,grugh attendia,gwrewgh attendya:,Consider ye [Do understand] :,,,
line,2839,mar peth prevys dyogel,mar pydh prevys diogel,If there [shall] be proved certainly,,,
line,2840,in gethna fovt in bugel,y'n jydh na fowt yn bugel,"2840 On that day fault in the Shepherd,",,,
line,2841,go eff doys then keth chargna,go-ev dos dhe'n keth charj na.,Woe is him to come to that same charge.,,,
line,2842,The harhe a vo an rol,"Dhe harttha a vo an rol,","The lengthier [stricter] the roll shall be,",,,
line,2843,the pelle why a wor ol,dhe pella hwi a woer oll,"The longer, you all know,",,,
line,2844,hy a veth prest ov redya,hi a vydh prest ow redya.,2844 It shall be ever a-reading.,,,
line,2845,nefre ne ny fanna cur,Nevra my ny vynna' kur,Never do I wish a cure,,,
line,2846,marnes a vn ena sur,marnas a unn ena sur.,Unless of one soul surely.,,,
line,2847,du roy thym y lel revlya,Dyw roy dhymm y lel rewlya!,God grant to me to rule it loyally !,,,
blank,,,,,,,
speaker,,DECANUS 2848,Decanus,THE DEAN.,,,
line,2848,Ov breder duen ny the dre,"Ow breder, deun ni dhe dre.","2848 My brethren, let us go home.",,,
line,2849,ny vyn an den ma cole,Ny vynn an den ma koela,This man will not hearken,,,
line,2850,dotho orth neb a vyn da,dhodho orth neb a vynn da.,To one who wishes well to him.,,,
stage,,[comes venetensis,,[To the Earl of Vannes.,,,
line,2851,ser ʒurle ny vyn meryasek,"Syrr yurl, ny vynn Meryasek","Sir earl, Meriasek will not",,,
line,2852,thynny ny bones tasek,"dhyn ni bones tasek,","To us be fatherly,",,,
line,2853,na cafus cur benytha,na kavoes kur bynytha.,Nor ever take a cure.,,,
blank,,,,,,,
stage,,[ascendit et expectat ibidem,,[He goes up and waits in the seme place.,,,
blank,,,,,,,
speaker,,COMES VENETENSIS,Comes venetensis,EARL OF VANNES.,,,
line,2854,Soweth prendreny dotha,"Soweth, pandr' wren ni dhodho?","Alas, what shall we do to him ?",,,
line,2855,mur a varth yv annotha,Meur a varth yw anodho,Much marvel is thereat,,,
line,2856,vodya sur an dynyte,vodya sur an dynyta:,1856 To reject surely the dignity :,,,
line,2857,ny a vyn ompredery,ni a vynn ombrederi,We will bethink us,,,
line,2858,forth rag y treyla defry,"fordh rag y drelya devri,","Of a way to turn him really,",,,
line,2859,ken plesijs me ny vethe,ken plesyes my ny vydha'.,Otherwise I shall not be pleased.,,,
blank,,,,,,,
stage,,Hic pompabit episcopus kernov si placet,Hic pompabit episcopus kernov si placet,Here the bishop of Kernou shall parade if he likes.,,,
blank,,,,,,,
speaker,,EPISCOPUS KERNOV 2860,Episcopus Kernov,BISHOP OF KERNOU.,,,
line,2860,Gelwys off epscop kernov,"Gelwys ov epskop Kernow,","I am called bishop of Kernou,",,,
line,2861,in breten heb feladov,yn Breten heb falladow,In Brittany without fail,,,
line,2862,parlet worthy,parlet wordhi.,A worthy prelate.,,,
line,2863,the vetinens (venitens) mannaff moys,Dhe Venitens mynnav mos;,To Vannes I will go ;,,,
line,2864,ena y fensen ov boys,ena y fynnsen ow bos,2864 There I should like to be,,,
line,2865,purguir gans an arlythy,pur wir gans an arlydhi.,Right truly with the lords.,,,
blank,,,,,,,
speaker,,CROSSER EPISCOPI KERNOV 2866,Crosser episcopi Kernov,THE BISHOP OF KERNOU'S CROZIER-BEARER.,,,
line,2866,Yma ena mur the gul,Yma ena meur dhe wul.,There is much to do there.,,,
line,2867,besy yv cafus cusul,Bysi yw kavoes kusul,Need is to take counsel,,,
line,2868,a tus fur a velogh why,"a dus fur, avelowgh hwi,","Of wise folk, see ye ?",,,
line,2869,pyv a vo epscop sacrys,piw a vo epskop sakrys.,Who shall be [consecrated] bishop ?,,,
line,2870,meryasek yma notis,Meryasek yma notys,"Meriasek, it is noted",,,
line,2871,boys dotho an ro defry,bos dhodho an ro devri.,That to him the gift is certainly.,,,
stage,,[finit,,,,,
stage,,[descendit,,[He goes down.,,,
stage,,[hic pompabit secundus episcopus,,[Here a second bishop shall parade.,,,
blank,,,,,,,
speaker,,EPISCOPUS SECUNDUS 2872,Episcopus secundus,SECOND BISHOP.,,,
line,2872,Ov crosser duen alemma,"Ow krosser, deun alemma:","My crozier-bearer, let us come hence :",,,
line,2873,mur a weyl the gul yma,meur a hwel dhe wul yma,Much of work to do there is,,,
line,2874,war epscop venetensi,war epskop Venetensi.,On the [a] bishop of Vannes.,,,
line,2875,meryasek yv dewesys,"Meryasek yw dewisys,","Meriasek is chosen,",,,
line,2876,sav eff ny vyn del glowys,"saw ev ny vynn, dell glywis,","But he will not, as I heard,",,,
line,2877,y receva eredy,y resseva yredi.,Receive it readily.,,,
blank,,,,,,,
speaker,,SECUNDUS CROSSER 2878,Secundus crosser,SECOND CROZIER-BEARER.,,,
line,2878,Ser arluth by sen iowan,"Syrr arloedh, by Sen Yowann,","Sir lord, by Saint Jovian,",,,
line,2879,my an kemer purlowan,"my a'n kemmer pur lowen,","I will take it right gladly,",,,
line,2880,mar mynner dym y profia,mar mynnir dhymm y brofya.,2880 If it be wished for me to prove it.,,,
line,2881,hag a rose noblennov,Hag a rosa-noblennow,And I would put nobles,,,
line,2882,appen sur an colmennov,"a pen sur, an kolmennow","At the end surely of the halters,",,,
line,2883,ny vya reys ov dynnya,ny via res ow dynya.,It would not be needful to entice (?) me.,,,
blank,,,,,,,
stage,,[finit,,,,,
stage,,[descendit secundus episcopus,,,,,
stage,,[descendit comes globus,,,,,
blank,,,,,,,
speaker,,COMES GLOBUS 2884,Comes Globus,EARL GLOBUS.,,,
line,2884,Ser epscop kernov bon iour,"Syrr epskop Kernow, bonjour.","Sir bishop of Kernou, bonjour.",,,
line,2885,an cowethes peseff dour,An kowethas pysav dour;,2884 The company I beseech earnestly,,,
line,2886,the venetenens (venetens) moys a regh,dhe Venetens mos a wrewgh.,That ye will go to Vannes.,,,
blank,,,,,,,
speaker,,COMES GLOBUS 2884,Episcopus Kernow,BISHOP OF KERNOU.,,,
line,2887,Ser epscop kernov bon iour,Wolkomm syrr yurl be thys day!,"Welcome, sir Earl, by this day !",,,
line,2888,an cowethes peseff dour,Wolkomm syrr epskop wordhi!,"Welcome, worthy sir bishop !",,,
line,2889,the venetenens (venetens) moys a regh,Wolkomm yw myns eus genowgh.,Welcome are all that are with you.,,,
blank,,,,,,,
speaker,,SECUNDUS EPISCOPUS 2890,Secundus episcopus,SECOND BISHOP.,,,
line,2890,Ser ʒurle hag epscop kernov,"Syrr yurl hag epskop Kernow,","Sir Earl and bishop of Kernou,",,,
line,2891,mur grays dyugh heb feladov,meur ras dhywgh heb falladow.,Many thanks to you without fail.,,,
line,2892,in vn forth kelmys onny,Yn unn fordh kelmys on ni.,1891 On one way are we bound.,,,
line,2893,in venetens,Yn Venetens,In Vannes,,,
line,2894,yma dyblens,yma diblans,There is clearly,,,
line,2895,mur the gul del glowys vy,meur dhe wul dell glywis vy.,Much to do as I have heard.,,,
blank,,,,,,,
speaker,,COMES GLOBUS,Comes Globus,EARL GLOBUS [to the Earl of Vannes.,,,
stage,,[comitem venitensem,,,,,
line,2896,Ser ʒurle lowene dywhy,"Syrr yurl, lowena dhy'hwi,","2896 Sir Earl, joy to thee,",,,
line,2897,ha reverens then hole colgy,ha revrons dhe'n oll kollji,"And reverence to the whole college,",,,
line,2898,bras ha byen,bras ha byghan!,Great and small !,,,
line,2899,ny re duth oma adre,Ni re dheuth omma a-dre,We have come here from home,,,
line,2900,in govenek exaltye,yn govenek eksaltya,1900 In the desire to exalt,,,
line,2901,meryasek in pur certen,Meryasek yn pur sertan.,Meriasek very certainly.,,,
blank,,,,,,,
speaker,,COMES VENETENSIS 2902,Comes venetensis,THE EARL OF VANNES.,,,
line,2902,Wolcum ser ʒurle caradov,"Wolkomm, syrr yurl karadow!","Welcome, loveable sir Earl !",,,
line,2903,wolcum owhy epscobov,Wolkomm owgh hwi epskobow!,"Welcome are ye, bishops !",,,
line,2904,mur a anneys gyllys on,Meur a anes gyllys on.,2904 Very ill at ease have we become.,,,
line,2905,meryasek yv dewesys,Meryasek yw dewisys,Meriasek is chosen,,,
line,2906,the vones epscop sacrys,"dhe vones epskop sakrys,","To be consecrated bishop,",,,
line,2907,sav eff ren nahas dyson,saw ev re'n naghas dison.,But he refused us at once.,,,
stage,,[descendunt omnes cum comes,,[All go down with the Earl of Vannes.,,,
stage,,{sic} ventensis,,,,,
blank,,,,,,,
speaker,,EPISCOPUS KERNOW 2908,Episcopus Kernow,THE BISHOP OF KERNOU.,,,
line,2908,The dre mar tuth y vollys,Dhe dre mar teuth y vollys,2908 If his bulls have come home,,,
line,2909,epscop eff a veth sacrys,epskop ev a vydh sakrys.,He will be consecrated bishop.,,,
line,2910,du dufen ken,Dyw difenn ken!,God forbid (aught) else !,,,
line,2911,prag na vyn y kemeras,Prag ny vynn y gemmeres?,Why will he not take it?,,,
line,2912,dretho y hyl gul gueras,Dredho y hyll gul gweres,2912 Thereby he might help,,,
line,2913,ha les the ol y ehen,ha les dhe oll y eghenn.,And benefit all his race.,,,
blank,,,,,,,
speaker,,SECUNDUS EPISCOPUS 2914,Secundus episcopus,SECOND BISHOP.,,,
line,2914,Dotho wath bethens covsys,Dhodho hwath bedhens kewsys,To him again let it be spoken,,,
line,2915,mar a kylle boys treylys,mara kylla bos trelys,If he can be turned,,,
line,2916,then dynyte,dhe'n dynyta:,2916 To the dignity :,,,
line,2917,densa dy conuersasconn,densa dh'y gonversashyon,A good man of his converse,,,
line,2918,sur in mesk ol y nascon,sur yn mysk oll y nashyonq,Surely amongst all his nation,,,
line,2919,ny a wor guir y vose,ni a woer gwir y vos-a.,I [We] know truly that he is.,,,
blank,,,,,,,
speaker,,COMES GLOBUS 2920,Comes Globus,EARL GLOBUS.,,,
line,2920,Heb na herre lafarov,Heb na hirra lavarow,2900 Without any longer words,,,
line,2921,ny a vyn heb feladov,ni a vynn heb falladow,"We will, without fail,",,,
line,2922,moys then teller may meve,"mos dhe'n tyller may ma va,","Go to the place where he is,",,,
line,2923,hag alena sur y dry,hag alena sur y dhri.,And thence surely bring him.,,,
line,2924,den beneges ha worthy,Den bennigys ha wordhi,2924 A man blessed and worthy,,,
line,2925,yv in meske age hense,yw yn mysk aga hynsa.,He is amongst their chiefs. [old houses],,,
blank,,,,,,,
speaker,,EPISCOPUS KERNOV 2926,Episcopus Kernow,THE BISHOP OF KERNOU.,,,
line,2926,Henna ol ny a assent,Henna oll ni a assent:,To that we all assent :,,,
line,2927,duen alemma verement,"deun alemma, verement","Let us come hence, verily,",,,
line,2928,brays ha byen,"bras ha byghan,","2928 Great and small,",,,
line,2929,tus hen guelhevyn an pov,"tus hen, gwelhevin an pow,","Old folk, chiefs of the country,",,,
line,2930,agen attent why a clov,"agan attent hwi a glyw,","Our attempt ye shall hear,",,,
line,2931,leyk ha lyen,leg ha lyenn.,Lay and learned.,,,
stage,,tranceat ad heremum [in monte,,Let him pass to the hermitage [on the mountain.,,,
blank,,,,,,,
speaker,,SECUNDUS EPISCOPUS 2932,Secundus episcopus,SECOND BISHOP.,,,
line,2932,Oma yma meryasek,"Omma yma Meryasek,","2932 Here is Meriasek,",,,
line,2933,ser ʒurle arluth galosek,"syrr yurl, arloedh galloesek,","Sir Earl, mighty lord,",,,
line,2934,covsugh why dothe kynsa,"kewsewgh hwi dhodho kynsa,","Speak you to him first,",,,
line,2935,mar a mynna dre decter,mara mynna dre dekter,If he will through fairness,,,
line,2936,dones genen heb awer,dones genen heb ahwer.,Come with us without grief.,,,
line,2937,trueth yv y dystempra,Truedh yw y dhistempra.,A pity it is to ruffle him.,,,
blank,,,,,,,
speaker,,COMES VENETENSIS,Comes venetensis    <ad meriadocum,THE EARL OF VANNES to Meriasek,,,
stage,,[ad meriadocum,,,,,
line,2938,Lowene dis meryasek,"Lowena dhis, Meryasek,","Joy to thee, Meriasek",,,
line,2939,omma avel bohosek,omma avel boghosek,Here like a poor man,,,
line,2940,solla deth ty re vewas,seuladhydh ty re vywas.,2940 For a long time thou hast lived.,,,
line,2941,lemmen der the vvelder,Lemmyn der dha uvelder,Now through thy humility,,,
line,2942,exaltijs the reelder,eksaltyes dhe ryalder,Exalted to royalty,,,
line,2943,ty yv dremas rag the voas,"ty yw, dremas rag dha vos.",Thou art for that thou art excellent.,,,
blank,,,,,,,
speaker,,COMES GLOBUS 2944,Comes Globus,EARL GLOBUS.,,,
line,2944,Densa ath conuersasconn,Densa a'th konversashyon,1944 A good man of thy converse,,,
line,2945,ty yv in meske the nascon,"ty yw yn mysk dha nashyon,","Thou art among thy nation,",,,
line,2946,ha sevys an gois worthy,ha sevys a'n goes wordhi.,And raised of the worthy blood.,,,
line,2947,nytheseth purguir ragoys,Ny dhesedh pur wir ragos,"Not, right truly, for thee is it meet",,,
line,2948,oma trege in ponfoys,"omma tryga yn poenvos,","4948 Here to dwell in trouble,",,,
line,2949,rag henna dus genenny,rakhenna deus genen ni.,Therefore come thou with us.,,,
blank,,,,,,,
speaker,,SECUNDUS EPISCOPUS 2950,Secundus episcopus,SECOND BISHOP.,,,
line,2950,The vollys dufe the dre,Dha vollys deuva dhe-dre.,Thy bulls have come home.,,,
line,2951,in venetenes the sacre,Yn Venetens dha sakra,In Vannes to consecrate thee,,,
line,2952,epscop gallus thyn yma,epskop galloes dhyn yma.,4952 Bishop we have power.,,,
line,2953,henna yv both oll an pov,Henna yw bodh oll an pow.,That is the wish of all the country.,,,
line,2954,ty a yl in the dethyov,Ty a yll yn dha dhydhyow,Thou mayest in thy days,,,
line,2955,purguir boys sensis detha,pur wir bos synsys dhedha.,Right truly be bound to them.,,,
blank,,,,,,,
speaker,,MERIADOCUS 2956,Meriadocus,MERIASEK.,,,
line,2956,Na govsugh an dynyte,"Na gewsewgh a'n dynyta,","Talk ye not of the dignity,",,,
line,2957,rag kerense crist avan,rag kerensa Krist a-vann!,For love of Christ above !,,,
line,2958,epscop ny vethe neffre,Epskop na vydha' nevra,Bishop I would never be,,,
line,2959,na cur ny vanna certan,na kur ny vynna' sertan,"Nor, certainly, do I wish a cure",,,
line,2960,a vap denvyth in bysme,a vab denvydh y'n bys ma,Of a son of any man in this world,,,
line,2961,mas ov ene ov honan,ma's ow ena ow honan.,Save my own soul,,,
line,2962,arlythy arlithy eugh dre,"Arlydhi, arlydhi, ewgh dre,","Lords, lords, go ye home,",,,
line,2963,na letyogh ov devoconn,na lettyewgh ow devoshyon!,Hinder not my devotion !,,,
blank,,,,,,,
speaker,,EPISCOPUS KERNOW 2964,Episcopus Kernow,THE BISHOP OF KERNOU.,,,
line,2964,Na wele covs gerennov (geryou),Na hwila kows gerennow,Seek not to talk words,,,
line,2965,hag orthen guthel tennov,"nag orthyn guthyl tennow,","And against us to pull,",,,
line,2966,gans an pap pan yv ornys,gans an Pab pan yw or'nys.,When it is ordered by the Pope.,,,
line,2967,mynny gy kyn na vynny,"Mynni jy, kyn na vynni","(Though) thou wilt, though thou wilt not",,,
line,2968,ta a in kerth genen ny,"ty a yn kerdh genen ni,","2968 Thou shalt go away with us,",,,
line,2969,hag oma gays the cumyys,hag omma gas dha gummyas.,And here leave thy height (?) [take your leave],,,
blank,,,,,,,
speaker,,MERIADOCUS,Meriadocus,MERIASEK.,,,
stage,,[meryasek yledyt,,[Meriasek led.,,,
line,2970,Maria wyn gueres vy,"Maria wynn, gweres vy!","Blessed Mary, help me !",,,
line,2971,maria the orthys gy,"Maria, diworthis jy","Mary, from thee",,,
line,2972,erbyn ov both ledijs off,erbynn ow bodh ledys ov.,Against my will I am led.,,,
line,2973,maria mam ha guerhes,"Maria, Mamm ha Gwyrghes,","Mary, Mother and Virgin,",,,
line,2974,maria da y wothes,"Maria, da y hwodhes","Mary, well thou knowest",,,
line,2975,an charg peys da my nynsoff,a'n charj pes da my nyns ov.,With the charge well satisfied I am not.,,,
blank,,,,,,,
speaker,,COMES VENETENSIS 2976,Comes ventensis,THE EARL OF VANNES.,,,
line,2976,Meryasek nynsoys den fur,"Meryasek, nyns os den fur.","Meriasek, thou art not a wise man.",,,
line,2977,reys yv the ran cafus cur,Res yw dhe rann kavoes kur,Need is for some to take the cure,,,
line,2978,oma sur an enevov,omma sur a'n enevow.,Here surely of the souls.,,,
line,2979,le may fo bugel medel (medhel),Le may fo bugel medhel,In the place where there is a soft shepherd,,,
line,2980,an lowern pur thyogel,an lowarn pur dhiogel,"2980 The fox, right certainly,",,,
line,2981,a leghya an dewysyov (devysyou),a leha an devesow.,Will lessen the sheep.,,,
blank,,,,,,,
line,2982,Vnferheys kepar del on,"Unnverhes kepar dell on,","One-minded as we are,",,,
line,2983,berth in eglos sent sampson,'berth yn eglos Sen Sampson,Within the church of Saint Sampson,,,
line,2984,bethens eff consecratis,bedhens ev konsekratys,2984 Let him be consecrated,,,
line,2985,gans worschyp ha revvte (reoute),gans worshyp ha reowta,With worship and sway.,,,
line,2986,nynsyv helme mas levte,"Nyns yw hemma ma's lowta,","This is naught save loyalty,",,,
line,2987,meryasek na veth serrys,"Meryasek, na vydh serrys.","Meriasek, be not angered.",,,
blank,,,,,,,
speaker,,MERIADOCUS,Meriadocus,MERIASEK.,,,
stage,,[yn ye deyn ys church,,[in the Dean's Church.,,,
line,2988,Rag kerense an pasconn,Rag kerensa an passhyon,For love of the Passion,,,
line,2989,a thuk ihesu ragon ny,"a dhug Yesu ragon ni,","Which Jesu bore for us,",,,
line,2990,kentrewys gans ʒethewon,kentrewys gans Yedhewon,Nailed by the Jews,,,
line,2991,treys ha dule eredy,treys ha diwla yredi,"Feet and hands [readily],",,,
line,2992,gueskis gu in y golon,gweskys guv yn y golonn,2992 A lance thrust into his heart,,,
line,2993,may reses goys y guythy,"may resas goes y wythi,","So that the blood of his veins ran,",,,
line,2994,curen spern dre an grogon,"kurun spern dre an grogen,","A crown of thorns through his [the] skull,",,,
line,2995,an dryn a hethes defry,an dreyn a hedhas devri,The thorns reached surely,,,
line,2996,thy ompenyon,dh'y ympynnyon:,2996 To his brains :,,,
line,2997,rag y gerense lemen,rag y gerensa lemmyn,For love of him now,,,
line,2998,agys pesy me a vyen,agas pysi my a vynn,I will beseech thee,,,
line,2999,epscop benytha na ven,epskop bynytha na ven.,That I be not a bishop.,,,
line,3000,a thu orth an charg ny von,"A Dhyw, orth an charj ny wonn!","3000 O God, of the charge I know not !",,,
blank,,,,,,,
speaker,,EPISCOPUS KERNOW 3001,Episcopus Kernow,BISHOP OF KERNOU.,,,
line,3001,Na govs thyn geryov vfer,Na gows dhyn geryow euver.,Speak not to us vain words.,,,
line,3002,dus oma ese yth cheer,"Deus omma, ese' y'th chayr:","Come thou here, sit in thy chair :",,,
line,3003,guyske the dylles yth kerhyn,gwisk dha dhillas y'th kyrghynn:,Put on thy robe around thee :,,,
line,3004,genen ty a veth taklays,genen ty a vydh taklys,3004 By us shalt thou be arrayed,,,
line,3005,del goth the epscop a rays,dell goedh dhe epskop a ras.,As becomes a bishop of grace.,,,
line,3006,tra ny fyl dyso certeyn,Tra ny fyll dhiso sertan.,Aught will not fail thee certainly.,,,
stage,,[her meryasek weryth a gowne,,[Here Meriasek wears a gown.,,,
